书本id	书名	作者	类别	好评	差评	下载地址
13337	《镜面管理局》	作者：横扫天涯	奇幻·玄幻	36	103	http://185.163.45.196/23/jmgl,hsty.rar ， http://45.138.97.38/23/jmgl,hsty.rar
13378	《锦衣》	作者：上山打老虎额	历史·军事	271	93	http://185.163.45.196/23/jy,dlh.rar ， http://45.138.97.38/23/jy,dlh.rar
12716	《演武令》	作者：鱼儿小小	历史·军事	74	125	http://185.163.45.196/23/ywj,yexx.rar ， http://45.138.97.38/23/ywj,yexx.rar
13150	《我最喜欢诡异了》	作者：大脸晨	科幻·灵异	89	61	http://185.163.45.196/23/wzxhgy,dlc.rar ， http://45.138.97.38/23/wzxhgy,dlc.rar
13461	《当系统泛滥成灾》	作者：木羽澜风	科幻·灵异	74	135	http://185.163.45.196/23/dxtcz,mylf.rar ， http://45.138.97.38/23/dxtcz,mylf.rar
12803	《无敌从拳法大成开始》	作者：三生愚	奇幻·玄幻	116	50	http://185.163.45.196/23/wdcqfks,ssy.rar ， http://45.138.97.38/23/wdcqfks,ssy.rar
13909	《仙草供应商》	作者：寂寞我独走	武侠·仙侠	109	193	http://185.163.45.196/23/xcgy,jmdz.rar ， http://45.138.97.38/23/xcgy,jmdz.rar
12902	《我的人生可以无限模拟》	作者：新亭	奇幻·玄幻	29	21	http://185.163.45.196/23/wdrs,xt.rar ， http://45.138.97.38/23/wdrs,xt.rar
13652	《我的恋爱指数要满仓》	作者：鱼鱼快动	二次元	61	142	http://185.163.45.196/23/wdlazsmc,yy.rar ， http://45.138.97.38/23/wdlazsmc,yy.rar
13333	《长夜余火》	作者：爱潜水的乌贼	奇幻·玄幻	568	203	http://185.163.45.196/23/cyyh,wz.rar ， http://45.138.97.38/23/cyyh,wz.rar
13839	《我命超硬，百无禁忌(猛鬼收容所)》	作者：南斗昆仑	科幻·灵异	109	73	http://185.163.45.196/23/wmcy,ndkl.rar ， http://45.138.97.38/23/wmcy,ndkl.rar
13356	《我在亮剑当战狼》	作者：寂寞剑客	历史·军事	41	251	http://185.163.45.196/23/wzljdz,jmjk.rar ， http://45.138.97.38/23/wzljdz,jmjk.rar
13756	《只想退休的我被迫成了大将》	作者：咸鱼军头	二次元	160	135	http://185.163.45.196/23/zxtxbpjj,xy.rar ， http://45.138.97.38/23/zxtxbpjj,xy.rar
12638	《墨唐》	作者：将臣一怒	历史·军事	62	132	http://185.163.45.196/23/mt,kcyl.rar ， http://45.138.97.38/23/mt,kcyl.rar
13525	《从零开始的精灵》	作者：很萌很好吃	二次元	58	123	http://185.163.45.196/23/clksdjl,hhc.rar ， http://45.138.97.38/23/clksdjl,hhc.rar
12672	《我大明武德充沛但选择文化胜利》	作者：江南说书人	历史·军事	181	142	http://185.163.45.196/23/wdmwdcp,jnssr.rar ， http://45.138.97.38/23/wdmwdcp,jnssr.rar
12477	《我才不是精灵文配角》	作者：疯狂沉默	二次元	61	114	http://185.163.45.196/23/wcbsjlpj,fkcm.rar ， http://45.138.97.38/23/wcbsjlpj,fkcm.rar
13948	《我明明只想当龙套》	作者：如倾如诉	二次元	32	108	http://185.163.45.196/23/wmmzdlyt,rqrs.rar ， http://45.138.97.38/23/wmmzdlyt,rqrs.rar
13505	《派出所里的小捕快》	作者：关昌	都市·娱乐	20	16	http://185.163.45.196/23/pcsdxbk,gc.rar ， http://45.138.97.38/23/pcsdxbk,gc.rar
13678	《最后的三国2兴魏》	作者：风之清扬	历史·军事	42	109	http://185.163.45.196/23/zhdsg2,fzqy.rar ， http://45.138.97.38/23/zhdsg2,fzqy.rar
13393	《视死如归魏君子》	作者：平层	二次元	69	154	http://185.163.45.196/23/ssrgwz,pc.rar ， http://45.138.97.38/23/ssrgwz,pc.rar
12451	《开局就杀了曹操》	作者：墨守白	历史·军事	38	96	http://185.163.45.196/23/kjslcc,msb.rar ， http://45.138.97.38/23/kjslcc,msb.rar
13886	《太乙》	作者：雾外江山	武侠·仙侠	119	174	http://185.163.45.196/23/ty,wwjs.rar ， http://45.138.97.38/23/ty,wwjs.rar
13229	《我有一个武道世界》	作者：俺来组成头部	科幻·灵异	125	87	http://185.163.45.196/23/wyygwdsj,zctb.rar ， http://45.138.97.38/23/wyygwdsj,zctb.rar
12857	《末日拼图游戏》	作者：更从心	竞技·游戏	164	15	http://185.163.45.196/23/mrptyx,cx.rar ， http://45.138.97.38/23/mrptyx,cx.rar
12626	《大国相》	作者：余人	历史·军事	61	168	http://185.163.45.196/23/dhx,yr.rar ， http://45.138.97.38/23/dhx,yr.rar
12452	《魔神大明》	作者：草上匪	奇幻·玄幻	47	104	http://185.163.45.196/23/smdm,csff.rar ， http://45.138.97.38/23/smdm,csff.rar
13850	《1991从芯开始》	作者：三分糊涂	都市·娱乐	90	113	http://185.163.45.196/23/1991xks,ht.rar ， http://45.138.97.38/23/1991xks,ht.rar
12604	《万界竞技，开局我选张三丰》	作者：废纸桥	武侠·仙侠	50	130	http://185.163.45.196/23/wjjjj,fzq.rar ， http://45.138.97.38/23/wjjjj,fzq.rar
13934	《一剑独尊》	作者：青鸾峰上	奇幻·玄幻	42	126	http://185.163.45.196/23/yjdz,ql.rar ， http://45.138.97.38/23/yjdz,ql.rar
12939	《回到2002当医生》	作者：真熊初墨	都市·娱乐	80	92	http://185.163.45.196/23/hd2002,zxcm.rar ， http://45.138.97.38/23/hd2002,zxcm.rar
13665	《规则系学霸》	作者：不吃小南瓜	都市·娱乐	48	142	http://185.163.45.196/23/gzxxb,xng.rar ， http://45.138.97.38/23/gzxxb,xng.rar
13645	《秘战无声》	作者：长风	都市·娱乐	37	168	http://185.163.45.196/23/mzws,zf.rar ， http://45.138.97.38/23/mzws,zf.rar
13867	《我打造了救世组织》	作者：锈迹符文	二次元	85	127	http://185.163.45.196/23/wdzjszz,xjfw.rar ， http://45.138.97.38/23/wdzjszz,xjfw.rar
13873	《逐道在诸天》	作者：新海月1	科幻·灵异	40	121	http://185.163.45.196/23/zdzzt,xy1.rar ， http://45.138.97.38/23/zdzzt,xy1.rar
13592	《科技之锤》	作者：一桶布丁	都市·娱乐	41	138	http://185.163.45.196/23/kjzc,bd.rar ， http://45.138.97.38/23/kjzc,bd.rar
13135	《这对血族不太冷》	作者：平静的沐鸿	科幻·灵异	11	200	http://185.163.45.196/23/zdxzbl,pj.rar ， http://45.138.97.38/23/zdxzbl,pj.rar
13753	《我的漫威超人女友》	作者：徐少一	二次元	42	163	http://185.163.45.196/23/wdwmny,xsy.rar ， http://45.138.97.38/23/wdwmny,xsy.rar
13602	《灵魂画手》	作者：无籽甜瓜	科幻·灵异	154	57	http://185.163.45.196/23/lhhs,wzg.rar ， http://45.138.97.38/23/lhhs,wzg.rar
12846	《什么叫游走型中单啊》	作者：这很科学啊	竞技·游戏	65	215	http://185.163.45.196/23/smyzxzd,zhkx.rar ， http://45.138.97.38/23/smyzxzd,zhkx.rar
13905	《赤之沙尘》	作者：范仪同	二次元	58	171	http://185.163.45.196/23/czsc,fyt.rar ， http://45.138.97.38/23/czsc,fyt.rar
13005	《洪荒之圣道煌煌》	作者：星之煌	武侠·仙侠	56	124	http://185.163.45.196/23/hhzsdhh,xzh.rar ， http://45.138.97.38/23/hhzsdhh,xzh.rar
13883	《大明之雄霸海外》	作者：比萨饼	历史·军事	60	116	http://185.163.45.196/23/dmzxb,bsb.rar ， http://45.138.97.38/23/dmzxb,bsb.rar
12910	《网王之从呼吸法开始》	作者：南柯OL	竞技·游戏	51	166	http://185.163.45.196/23/wwzhxfks,nk.rar ， http://45.138.97.38/23/wwzhxfks,nk.rar
13224	《我能魔改黑科技》	作者：凉茶煮酒	科幻·灵异	57	84	http://185.163.45.196/23/wnmgkj,lczj.rar ， http://45.138.97.38/23/wnmgkj,lczj.rar
13880	《我被妖魔圈养了》	作者：七月酒仙	武侠·仙侠	51	89	http://185.163.45.196/23/wbygjy,qyjx.rar ， http://45.138.97.38/23/wbygjy,qyjx.rar
13537	《全职灵尊》	作者：润德先生	科幻·灵异	39	66	http://185.163.45.196/23/qzlz,rd.rar ， http://45.138.97.38/23/qzlz,rd.rar
13650	《宋煦》	作者：官笙	历史·军事	93	86	http://185.163.45.196/23/sx,gs.rar ， http://45.138.97.38/23/sx,gs.rar
13596	《从猎人世界开始的猎人》	作者：永远十六岁	二次元	82	152	http://185.163.45.196/23/clrsjks,yysbs.rar ， http://45.138.97.38/23/clrsjks,yysbs.rar
13566	《星门》	作者：老鹰吃小鸡	奇幻·玄幻	184	289	http://185.163.45.196/23/xm,lyxj.rar ， http://45.138.97.38/23/xm,lyxj.rar
13813	《天道方程式》	作者：二目	奇幻·玄幻	79	101	http://185.163.45.196/23/dtfcs,eme.rar ， http://45.138.97.38/23/dtfcs,eme.rar
13448	《新书》	作者：七月新番	历史·军事	230	83	http://185.163.45.196/23/xs,xf.rar ， http://45.138.97.38/23/xs,xf.rar
13907	《我若修仙法力齐天》	作者：一只辣椒精	竞技·游戏	64	175	http://185.163.45.196/23/wrxxflwb,yznjz.rar ， http://45.138.97.38/23/wrxxflwb,yznjz.rar
13467	《我在古代日本当剑豪》	作者：漱梦实	二次元	127	233	http://185.163.45.196/23/wzgddjh,sms.rar ， http://45.138.97.38/23/wzgddjh,sms.rar
13445	《我宅了百年出门已无敌》	作者：半道清风	奇幻·玄幻	69	172	http://185.163.45.196/23/wzlbn,bdqf.rar ， http://45.138.97.38/23/wzlbn,bdqf.rar
12915	《箭魔》	作者：明月夜色	奇幻·玄幻	78	166	http://185.163.45.196/23/jm,mryss.rar ， http://45.138.97.38/23/jm,mryss.rar
13175	《DC家的骑士》	作者：英雄骑士	二次元	46	197	http://185.163.45.196/23/dcqs,yxqs.rar ， http://45.138.97.38/23/dcqs,yxqs.rar
13670	《木叶之体内一只哥斯拉》	作者：大魔灵	二次元	62	167	http://185.163.45.196/23/myzngsl,dml.rar ， http://45.138.97.38/23/myzngsl,dml.rar
13895	《某霍格沃茨的魔文教授》	作者：韩游思	二次元	385	66	http://185.163.45.196/23/mhgwcmw,hys.rar ， http://45.138.97.38/23/mhgwcmw,hys.rar
13458	《全职艺术家》	作者：我最白	都市·娱乐	137	190	http://185.163.45.196/23/qzys,wb.rar ， http://45.138.97.38/23/qzys,wb.rar
12898	《钻石王牌之强棒驾到》	作者：飞熊骑士	二次元	14	117	http://185.163.45.196/23/zswpqb,fxqs.rar ， http://45.138.97.38/23/zswpqb,fxqs.rar
13763	《我在当铺鉴宝的那些年》	作者：当年烟火	奇幻·玄幻	61	98	http://185.163.45.196/23/wzdpjddnxn,yh.rar ， http://45.138.97.38/23/wzdpjddnxn,yh.rar
12931	《你当像勇者翻过群山》	作者：沉默的爱	竞技·游戏	22	214	http://185.163.45.196/22/nxdyz,cmda.rar ， http://45.138.97.38/22/nxdyz,cmda.rar
13334	《古神的诡异游戏》	作者：宝月流光	竞技·游戏	179	51	http://185.163.45.196/23/gsdgyy,bylg.rar ， http://45.138.97.38/23/gsdgyy,bylg.rar
12888	《重生科技学霸》	作者：疯子C	科幻·灵异	43	298	http://185.163.45.196/23/cskjxb,fz.rar ， http://45.138.97.38/23/cskjxb,fz.rar
13008	《亏成首富从游戏开始》	作者：青衫取醉	竞技·游戏	808	145	http://185.163.45.196/22/kcsf,qsqz.rar ， http://45.138.97.38/22/kcsf,qsqz.rar
13784	《诸天兼职成神》	作者：堪梦01	科幻·灵异	46	136	http://185.163.45.196/23/ztjz,km.rar ， http://45.138.97.38/23/ztjz,km.rar
13048	《死灵神话》	作者：羽民	竞技·游戏	166	82	http://185.163.45.196/22/slshc,ym.rar ， http://45.138.97.38/22/slshc,ym.rar
13073	《我能提取熟练度》	作者：云东流	竞技·游戏	331	134	http://185.163.45.196/22/wntsld,ydlk.rar ， http://45.138.97.38/22/wntsld,ydlk.rar
13118	《全民魔女1994》	作者：宇宙鸽	科幻·灵异	141	132	http://185.163.45.196/23/qmmn,yzg.rar ， http://45.138.97.38/23/qmmn,yzg.rar
13615	《我们生活在南京》	作者：天瑞说符	科幻·灵异	281	41	http://185.163.45.196/23/wmshznj,tr.rar ， http://45.138.97.38/23/wmshznj,tr.rar
12678	《不让江山》	作者：知白	历史·军事	135	99	http://185.163.45.196/23/brjs,b.rar ， http://45.138.97.38/23/brjs,b.rar
13387	《大唐孽子》	作者：南山堂	历史·军事	73	205	http://185.163.45.196/23/dtnz,nst.rar ， http://45.138.97.38/23/dtnz,nst.rar
13286	《猎魔烹饪手册》	作者：颓废龙	竞技·游戏	386	154	http://185.163.45.196/22/lmpr,tl.rar ， http://45.138.97.38/22/lmpr,tl.rar
12729	《拜师四目道长》	作者：东人	科幻·灵异	72	198	http://185.163.45.196/23/bssmd,dr.rar ， http://45.138.97.38/23/bssmd,dr.rar
13026	《全球进入大洪水时代》	作者：死神钓者	科幻·灵异	98	146	http://185.163.45.196/23/qqdhsd,ssdz.rar ， http://45.138.97.38/23/qqdhsd,ssdz.rar
13226	《我的师长冯天魁》	作者：楼下水如天	历史·军事	32	150	http://185.163.45.196/23/wdszf,lxs.rar ， http://45.138.97.38/23/wdszf,lxs.rar
12607	《法师乔安》	作者：程剑心	竞技·游戏	136	73	http://185.163.45.196/22/fsqa,cx.rar ， http://45.138.97.38/22/fsqa,cx.rar
13287	《神话三国领主》	作者：大汉护卫	竞技·游戏	40	191	http://185.163.45.196/23/shsg,dhhw.rar ， http://45.138.97.38/23/shsg,dhhw.rar
13551	《吕布的人生模拟器》	作者：会说话的胡子	历史·军事	336	63	http://185.163.45.196/23/lbdrs,hsfdzz.rar ， http://45.138.97.38/23/lbdrs,hsfdzz.rar
13291	《仙丹给你毒药归我》	作者：小呆昭	武侠·仙侠	10	2	http://185.163.45.196/23/xdgn,xdz.rar ， http://45.138.97.38/23/xdgn,xdz.rar
12928	《他来自虚空》	作者：可能有猫饼	竞技·游戏	52	73	http://185.163.45.196/22/zlzxk,ymb.rar ， http://45.138.97.38/22/zlzxk,ymb.rar
13655	《浑天记》	作者：十二子南申	武侠·仙侠	102	158	http://185.163.45.196/23/htj,sez.rar ， http://45.138.97.38/23/htj,sez.rar
13633	《横推山河九万里》	作者：易子七	武侠·仙侠	38	118	http://185.163.45.196/23/htshjwl,yz.rar ， http://45.138.97.38/23/htshjwl,yz.rar
12991	《我在明末有套房》	作者：tx程志	历史·军事	37	187	http://185.163.45.196/23/wzmmyf,txcz.rar ， http://45.138.97.38/23/wzmmyf,txcz.rar
13205	《宋北云》	作者：伴读小牧童	历史·军事	260	126	http://185.163.45.196/23/sby,xmt.rar ， http://45.138.97.38/23/sby,xmt.rar
13864	《重生浪潮之巅》	作者：佛即心兮	都市·娱乐	45	103	http://185.163.45.196/23/cslcld,fjxx.rar ， http://45.138.97.38/23/cslcld,fjxx.rar
13622	《极品全能高手(极品全能学生)》	作者：花都大少	都市·娱乐	74	623	http://185.163.45.196/23/jpqngs,hdds.rar ， http://45.138.97.38/23/jpqngs,hdds.rar
13724	《炼狱艺术家》	作者：烟火成城	科幻·灵异	156	78	http://185.163.45.196/23/lyys,yhcj.rar ， http://45.138.97.38/23/lyys,yhcj.rar
13576	《汉鼎余烟》	作者：蟹的心	历史·军事	149	71	http://185.163.45.196/23/hdyy,xx.rar ， http://45.138.97.38/23/hdyy,xx.rar
12594	《三国从忽悠刘备开始》	作者：浙东匹夫	历史·军事	113	86	http://185.163.45.196/23/sghyks,zdpf.rar ， http://45.138.97.38/23/sghyks,zdpf.rar
13623	《返回1998》	作者：木子心	都市·娱乐	55	135	http://185.163.45.196/23/fh98,mzx.rar ， http://45.138.97.38/23/fh98,mzx.rar
13786	《玉宸金章》	作者：一炁化三清	武侠·仙侠	153	122	http://185.163.45.196/23/ycjz,sq.rar ， http://45.138.97.38/23/ycjz,sq.rar
13545	《莫求仙缘》	作者：蒙面怪客	武侠·仙侠	267	148	http://185.163.45.196/23/mqxy,mmgk.rar ， http://45.138.97.38/23/mqxy,mmgk.rar
12437	《我对恶魔果实没有兴趣》	作者：翼赤火	二次元	48	26	http://185.163.45.196/23/wdemgs,ych.rar ， http://45.138.97.38/23/wdemgs,ych.rar
13700	《重生世纪之交》	作者：草木久久	都市·娱乐	88	81	http://185.163.45.196/23/sssj,cmjj.rar ， http://45.138.97.38/23/sssj,cmjj.rar
13305	《科学家闯汉末》	作者：云舒兄	历史·军事	7	13	http://185.163.45.196/23/kxjchm,ys.rar ， http://45.138.97.38/23/kxjchm,ys.rar
13160	《我快亏成麻瓜了》	作者：江公子阿宝	竞技·游戏	61	255	http://185.163.45.196/22/wkkcmg,jgz.rar ， http://45.138.97.38/22/wkkcmg,jgz.rar
13503	《不能修仙的我只有去培育魂宠了》	作者：夏竖琴	二次元	48	165	http://185.163.45.196/23/bnxxdw,sq.rar ， http://45.138.97.38/23/bnxxdw,sq.rar
13452	《大明最后一个狠人》	作者：大明第一帅	历史·军事	67	115	http://185.163.45.196/23/dmzhyghre,dmdys.rar ， http://45.138.97.38/23/dmzhyghre,dmdys.rar
13581	《强化医生》	作者：若忘书	都市·娱乐	52	173	http://185.163.45.196/23/qhys,rws.rar ， http://45.138.97.38/23/qhys,rws.rar
13284	《陛下，奇观误国啊！》	作者：会飞的阿猪	科幻·灵异	46	109	http://185.163.45.196/23/bxwg,hfdz.rar ， http://45.138.97.38/23/bxwg,hfdz.rar
13071	《红楼春》	作者：屋外风吹凉	历史·军事	361	89	http://185.163.45.196/23/hlc,wwcf.rar ， http://45.138.97.38/23/hlc,wwcf.rar
13390	《芝加哥1990》	作者：齐可休	二次元	361	293	http://185.163.45.196/23/zjg1990,qkl.rar ， http://45.138.97.38/23/zjg1990,qkl.rar
13016	《我不是野人》	作者：孑与2	历史·军事	113	246	http://185.163.45.196/23/wbsyr,zy.rar ， http://45.138.97.38/23/wbsyr,zy.rar
12996	《刀笼》	作者：虫梦	武侠·仙侠	114	82	http://185.163.45.196/23/dl,cmm.rar ， http://45.138.97.38/23/dl,cmm.rar
13555	《带着医院回80年》	作者：烤饺	都市·娱乐	57	111	http://185.163.45.196/23/dzyyh80,kj.rar ， http://45.138.97.38/23/dzyyh80,kj.rar
12714	《无限先知》	作者：吴杰超	科幻·灵异	151	312	http://185.163.45.196/23/wxxz,wwjc.rar ， http://45.138.97.38/23/wxxz,wwjc.rar
13698	《唯我正邪之路》	作者：蓝黑墨色	武侠·仙侠	81	240	http://185.163.45.196/23/wwzxzl,lhs.rar ， http://45.138.97.38/23/wwzxzl,lhs.rar
12813	《神秀之主》	作者：文抄公	竞技·游戏	801	189	http://185.163.45.196/22/sxzz,wcg.rar ， http://45.138.97.38/22/sxzz,wcg.rar
12453	《我要做球王》	作者：陈爱庭	竞技·游戏	35	105	http://185.163.45.196/23/wzqw,cay.rar ， http://45.138.97.38/23/wzqw,cay.rar
12917	《我的基因无限进化》	作者：青空洗雨	科幻·灵异	57	98	http://185.163.45.196/23/wdjjwxjh,qkxy.rar ， http://45.138.97.38/23/wdjjwxjh,qkxy.rar
13338	《我真没想当训练家啊》	作者：北川南海	二次元	255	137	http://185.163.45.196/23/wzmxdxlj,bcnh.rar ， http://45.138.97.38/23/wzmxdxlj,bcnh.rar
12483	《英雄联盟之兼职主播》	作者：永远的黄昏	竞技·游戏	24	139	http://185.163.45.196/22/yxlmjzzb,yhdhh.rar ， http://45.138.97.38/22/yxlmjzzb,yhdhh.rar
13612	《假如被巫女缠住》	作者：掠过的乌鸦	二次元	66	156	http://185.163.45.196/23/jrbnwcz,wy.rar ， http://45.138.97.38/23/jrbnwcz,wy.rar
13594	《我真是飞翔的河南人号船长啊》	作者：南山行者	科幻·灵异	45	214	http://185.163.45.196/23/wshnrhdcz,nssxz.rar ， http://45.138.97.38/23/wshnrhdcz,nssxz.rar
12840	《恶魔公寓》	作者：黑色火种	科幻·灵异	115	68	http://185.163.45.196/23/emgy,hz.rar ， http://45.138.97.38/23/emgy,hz.rar
13105	《修仙游戏满级后》	作者：文笀	竞技·游戏	67	156	http://185.163.45.196/22/xxyxmj,wm.rar ， http://45.138.97.38/22/xxyxmj,wm.rar
13653	《黎明之剑》	作者：远瞳	科幻·灵异	1339	108	http://185.163.45.196/23/lmzj,t.rar ， http://45.138.97.38/23/lmzj,t.rar
13664	《彼岸之主》	作者：孤独漂流	武侠·仙侠	280	207	http://185.163.45.196/23/bazz,gdp.rar ， http://45.138.97.38/23/bazz,gdp.rar
